repo,fix,bic,link
mozilla-unified,1773675,1762658,https://github.com/mozilla-unified/commit/1773675
mozilla-unified,1782339,1659124,https://github.com/mozilla-unified/commit/1782339
mozilla-unified,1594949,1484780,https://github.com/mozilla-unified/commit/1594949
mozilla-unified,1714421,1670778,https://github.com/mozilla-unified/commit/1714421
mozilla-unified,1706213,1705622,https://github.com/mozilla-unified/commit/1706213
mozilla-unified,1624988,1599965,https://github.com/mozilla-unified/commit/1624988
mozilla-unified,1688414,1684859,https://github.com/mozilla-unified/commit/1688414
mozilla-unified,1656335,1645310,https://github.com/mozilla-unified/commit/1656335
mozilla-unified,1733957,1731132,https://github.com/mozilla-unified/commit/1733957
mozilla-unified,1651858,1650429,https://github.com/mozilla-unified/commit/1651858
mozilla-unified,1585672,1580280,https://github.com/mozilla-unified/commit/1585672
mozilla-unified,1601150,1597989,https://github.com/mozilla-unified/commit/1601150
mozilla-unified,1699343,1658220,https://github.com/mozilla-unified/commit/1699343
mozilla-unified,1569027,1551598,https://github.com/mozilla-unified/commit/1569027
mozilla-unified,1757618,1754006,https://github.com/mozilla-unified/commit/1757618
mozilla-unified,1804606,1803435,https://github.com/mozilla-unified/commit/1804606
mozilla-unified,1630176,1637632,https://github.com/mozilla-unified/commit/1630176
mozilla-unified,1703545,1631451,https://github.com/mozilla-unified/commit/1703545
mozilla-unified,1700602,1690965,https://github.com/mozilla-unified/commit/1700602
mozilla-unified,1601252,1600211,https://github.com/mozilla-unified/commit/1601252
mozilla-unified,1747371,1745238,https://github.com/mozilla-unified/commit/1747371
mozilla-unified,1603512,1585482,https://github.com/mozilla-unified/commit/1603512
mozilla-unified,1736999,1734638,https://github.com/mozilla-unified/commit/1736999
mozilla-unified,1745153,1724480,https://github.com/mozilla-unified/commit/1745153
mozilla-unified,1608347,1567175,https://github.com/mozilla-unified/commit/1608347
mozilla-unified,1726186,1459526,https://github.com/mozilla-unified/commit/1726186
mozilla-unified,1578073,1450762,https://github.com/mozilla-unified/commit/1578073
mozilla-unified,1715155,1713787,https://github.com/mozilla-unified/commit/1715155
mozilla-unified,1767200,1755570,https://github.com/mozilla-unified/commit/1767200
mozilla-unified,1672238,1637745,https://github.com/mozilla-unified/commit/1672238
mozilla-unified,1711381,1702495,https://github.com/mozilla-unified/commit/1711381
mozilla-unified,1613368,1599080,https://github.com/mozilla-unified/commit/1613368
mozilla-unified,1667649,1658308,https://github.com/mozilla-unified/commit/1667649
mozilla-unified,1757273,1755053,https://github.com/mozilla-unified/commit/1757273
mozilla-unified,1578715,1551598,https://github.com/mozilla-unified/commit/1578715
mozilla-unified,1636541,1574852,https://github.com/mozilla-unified/commit/1636541
mozilla-unified,1798780,1732358,https://github.com/mozilla-unified/commit/1798780
mozilla-unified,1546491,1520948,https://github.com/mozilla-unified/commit/1546491
mozilla-unified,1655983,1652618,https://github.com/mozilla-unified/commit/1655983
mozilla-unified,1571479,1472212,https://github.com/mozilla-unified/commit/1571479
mozilla-unified,1601252,1598516,https://github.com/mozilla-unified/commit/1601252
mozilla-unified,1662925,1626362,https://github.com/mozilla-unified/commit/1662925
mozilla-unified,1603930,1600330,https://github.com/mozilla-unified/commit/1603930
mozilla-unified,1542581,791775,https://github.com/mozilla-unified/commit/1542581
